년,월,업종코드,업종명,매출액
2020,7,8109,예술품.골동품,2677310
2020,7,8110,화원.화초,275680078
2020,7,8111,"애완동물,용품(수족관)",192670663
2020,7,8112,기타상품판매점,391992976
2020,7,8113,사진관.현상소,221325102
2020,7,8114,점술업,1740000
2020,7,8115,동물병원,500889480
2020,7,8117,완구,83731670
2020,7,8119,화방.표구점,5574600
2020,7,8120,민예품.공예품,24876500
2020,7,8121,전문스포츠용품점,576752296
2020,7,8202,기타오락.휴식시설,44036800
2020,7,8203,영화.공연장,4332000
2020,7,8302,골프장,133283070
2020,7,8305,헬스클럽,618871481
2020,7,8308,당구장,58333180
2020,7,8309,골프연습장,443546755
2020,7,8310,기타취미.레저.스포츠,1639477038
2020,7,8401,오락실/PC방,147954670
2020,7,8402,노래방,98766660
2020,7,8405,사우나.목욕탕.찜질방,251299638
2020,7,8406,기타대인서비스,42208009
2020,7,8501,기타요금,1897000
2020,7,8503,종합레저타운,21405049
2020,7,8603,안마시술소,2179600
2020,7,9204,공과금,8190661
2020,7,9207,공공편의서비스,171850
2020,7,9301,이사/화물운송업,38311620
2020,7,9303,택배서비스,3873459
2020,7,9305,기타운송기구,15523220
2020,7,9306,창고보관업,1607000
2020,7,9402,판촉물.인쇄.복사,61028107
2020,7,9407,기계.장비(기타),33172800
2020,7,9502,법무전문서비스,15514330
2020,7,9503,세무전문서비스,12602010
2020,7,9504,광고기획.대행업,10362520
2020,7,9511,기타전문서비스,61370158
2020,7,9602,기타서비스,561969827
2020,7,9801,각종단체회비,29135990
2020,7,9906,종교시설 기부,11508000
2020,8,1101,양복점.한복점,30974600
2020,8,1104,아동.유아복,52111201
2020,8,1106,일반의류,598460454
2020,8,1107,스포츠용품점,121824644
2020,8,1108,모피.무스탕,476000
2020,8,1110,내의류,110336866
2020,8,1111,교복,6900297
2020,8,1112,의류관련(기타),4575000
2020,8,1201,커튼.카펫.수건,71200882
2020,8,1202,침구및수예품,148544041
2020,8,1301,세탁업,167272640
2020,8,1401,기타잡화,146360312
2020,8,1402,시계.귀금속,105413413
2020,8,1403,안경.광학제품,692975833
2020,8,1404,구두.신발,45947300
2020,8,1405,가방.핸드백,12267900
2020,8,1407,가발,14014000
2020,8,1501,화장품,409439901
2020,8,1503,미용재료,34909009
2020,8,1601,이발소,13450400
2020,8,1602,미용실(두발전문),1691503805
2020,8,1701,피부.체형미관리,269904716
2020,8,2102,"축산물,정육점",2189650356
2020,8,2103,"수산물,건어물",749944047
2020,8,2104,"농산물,청과물",1340637680
2020,8,2105,기타식음료품,1853799299
2020,8,2201,건강보조식품,129317846
2020,8,2202,인삼전문점,44413647
2020,8,2203,한국인삼공사,31074150
2020,8,2301,일반음식점,16925577607
2020,8,2302,중식전문점,1403972622
2020,8,2303,일식전문점,869317792
2020,8,2305,서양식전문점,815574022
2020,8,2307,패스트푸드점,964188044
2020,8,2309,치킨전문점,1431177082
2020,8,2310,식음료(기타),254933434
2020,8,2401,기타음식점,290312755
2020,8,2402,뷔페.출장연회,48271600
2020,8,2501,제과.제빵,1633873811
2020,8,2502,커피전문점,1995201379
2020,8,2503,아이스크림전문점,122912528
2020,8,2601,일반주점,596782295
2020,8,2602,주류전문점,5885350
2020,8,2604,기타주점,1711000
2020,8,3101,가전제품,326273687
2020,8,3102,정수기.비데,3058100
2020,8,3104,기타전자제품,35089013
2020,8,3201,컴퓨터및소프트웨어,47376961
2020,8,3202,통신기기,27212750
2020,8,3203,"철재,사무용가구",10065500
2020,8,3204,기타사무용기기,4553184
2020,8,3301,가구판매점,840771155
2020,8,3302,기타가정.주방용품,219139620
2020,8,3303,조명기구.전기,52685925
2020,8,3402,"보일러,펌프,샷시",75555893
2020,8,3403,기타건축자재,159947443
2020,8,3405,실내장식(인테리어),59145630
2020,8,3501,중고품판매점,27717700
2020,8,3503,기타장비임대,132494380
2020,8,3504,기타수리.수선전문,134733470
2020,8,3601,기타부동산관련업,4475160
2020,8,3602,부동산중개,3402000
2020,8,3801,웨딩토탈서비스,13565900
2020,8,3802,예식장,56178472
2020,8,3803,기타가례서비스,13165000
2020,8,4101,종합병원,1071662701
2020,8,4102,일반병원,488871389
2020,8,4103,한방병원,134236779
2020,8,4104,요양병원,333320048
2020,8,4201,치과,2027121777
2020,8,4202,내과,703868358
2020,8,4203,신경정신과,156421640
2020,8,4204,외과,193683736
2020,8,4205,성형외과,224770051
2020,8,4206,산부인과,271167160
2020,8,4207,안과,221767792
2020,8,4208,이비인후과,60809910
2020,8,4209,피부과,560204794
2020,8,4211,기타의료업,503246220
2020,8,4212,한의원,573457006
2020,8,4214,소아과,96088031
2020,8,4215,정형외과,942455479
2020,8,4401,의약품판매,116642167
2020,8,4402,약국,2195920201
2020,8,4403,한약방,33290570
2020,8,4501,기타약품.의료기기,129882889
2020,8,4601,산후조리원,167921525
2020,8,5102,대형할인점,2631740
2020,8,5103,기타상설할인.아울렛,2302800
2020,8,5201,슈퍼마켓.마트,7428790601
2020,8,5202,편의점,3431839435
2020,8,5203,소비조합(구내매점),362047644
2020,8,5204,농수축협직판장,1246430603
2020,8,5205,농협식품전문점,1382887380
2020,8,5206,체인스토어,531948534
2020,8,5301,기타,69817459
2020,8,5302,기타종합소매점,60777347
2020,8,5402,비료.사료.종자,30000530
2020,8,5501,인터넷상거래,420000
2020,8,5602,통신.방문판매,76046321
2020,8,6101,호텔(특급),19900964
2020,8,6102,호텔(특급외),47264018
2020,8,6103,기타숙박업소,47698900
2020,8,6104,레저용숙박업소,1569400
2020,8,6201,여행사,20000
2020,8,6203,"수집품,기념품",195800
2020,8,6204,차량임대(렌터카),1663500
2020,8,6205,선물용품점,3332500
2020,8,6302,택시,200000
2020,8,6404,오토바이,22027530
2020,8,6501,차량부품.용품,258758897
2020,8,6502,자동차정비,933063847
2020,8,6504,타이어판매점,209694759
2020,8,6601,주유소,4918350569
2020,8,6602,주유소(LPG),466024744
2020,8,6603,기타연료판매,19773884
2020,8,6701,주차장.폐차장,46017035
2020,8,6702,세차장,78338310
2020,8,6703,차량견인서비스,64000
2020,8,6705,고속도로통행카드,800
2020,8,7101,유치원,11527500
2020,8,7103,대학교.대학원,3175900
2020,8,7201,"입시학원,보습학원",3024720788
2020,8,7202,외국어학원,941685632
2020,8,7204,무술도장 등(학원),339724270
2020,8,7205,예체능계열학원,641845309
2020,8,7210,자동차운전학원,114204522
2020,8,7211,기술.직업훈련학원,105617760
2020,8,7213,기타교육.교습.학원,1304760067
2020,8,7301,요양.보육.복지시설,39302970
2020,8,7303,교육및교구,28568700
2020,8,8101,서적(출판),498996966
2020,8,8102,"문구,사무용품",265587492
2020,8,8103,비디오.음반,699500
2020,8,8104,악기판매점,24847700
2020,8,8105,"기타레저,스포츠용품",291227004
2020,8,8106,자전거,127202966
2020,8,8107,카메라.캠코더,9105800
2020,8,8109,예술품.골동품,2424868
2020,8,8110,화원.화초,141453544
2020,8,8111,"애완동물,용품(수족관)",148657378
2020,8,8112,기타상품판매점,237525633
2020,8,8113,사진관.현상소,109117470
2020,8,8114,점술업,100000
2020,8,8115,동물병원,305982726
2020,8,8117,완구,60059120
2020,8,8118,총포류,50000
2020,8,8119,화방.표구점,7005800
2020,8,8120,민예품.공예품,13276492
2020,8,8121,전문스포츠용품점,232700518
2020,8,8202,기타오락.휴식시설,50201700
2020,8,8203,영화.공연장,3615500
2020,8,8302,골프장,107478683
2020,8,8305,헬스클럽,231576730
2020,8,8308,당구장,55919554
2020,8,8309,골프연습장,203209781
2020,8,8310,기타취미.레저.스포츠,703922199
2020,8,8401,오락실/PC방,141871899
2020,8,8402,노래방,70174834
2020,8,8405,사우나.목욕탕.찜질방,103529800
2020,8,8406,기타대인서비스,19911200
2020,8,8501,기타요금,7183600
2020,8,8503,종합레저타운,30621300
2020,8,8603,안마시술소,200000
2020,8,9204,공과금,3981843
2020,8,9207,공공편의서비스,3155770
2020,8,9301,이사/화물운송업,7081550
2020,8,9303,택배서비스,2194950
2020,8,9305,기타운송기구,6955094
2020,8,9306,창고보관업,815000
2020,8,9402,판촉물.인쇄.복사,22465170
2020,8,9407,기계.장비(기타),15695428
2020,8,9502,법무전문서비스,9269460
2020,8,9503,세무전문서비스,1372000
2020,8,9504,광고기획.대행업,2086450
2020,8,9511,기타전문서비스,27192801
2020,8,9602,기타서비스,245023735
2020,8,9801,각종단체회비,7548850
2020,8,9906,종교시설 기부,3854000
2020,9,1101,양복점.한복점,16609000
2020,9,1104,아동.유아복,36240225
2020,9,1106,일반의류,430254127
2020,9,1107,스포츠용품점,90089959
2020,9,1108,모피.무스탕,800000
2020,9,1110,내의류,80054470
2020,9,1111,교복,13529400
2020,9,1112,의류관련(기타),2601700
2020,9,1201,커튼.카펫.수건,35096477
2020,9,1202,침구및수예품,102571098
2020,9,1301,세탁업,142859392
2020,9,1401,기타잡화,85705724
2020,9,1402,시계.귀금속,40494110
2020,9,1403,안경.광학제품,457441733
2020,9,1404,구두.신발,27050800
2020,9,1405,가방.핸드백,5580560
2020,9,1407,가발,10253500
